Name account,Sentiment,Vader,Textblob,Retweet
nytimes,0,-0.2023,0.0682,22
nytimes,-1,0,0.0682,36
nytimes,0,0.4939,0,24
nytimes,0,-0.5023,-0.1333,21
nytimes,0,-0.2846,0,27
nytimes,-1,-0.7184,-0.1,15
nytimes,0,0,0.0273,24
nytimes,0,0.5994,-0.3167,31
nytimes,0,-0.6808,0.0788,15
nytimes,0,0.5859,0,15
nytimes,0,0,0.0167,32
nytimes,0,-0.1531,0,44
nytimes,-1,0,0.3182,28
nytimes,-1,-0.8442,-0.4,16
nytimes,0,0.4767,0.0625,12
nytimes,0,0,0.0167,19
nytimes,0,-0.4404,0,355
nytimes,0,0.7003,0.5,49
nytimes,0,0.7506,0,34
nytimes,0,0.7759,0.5,24
nytimes,0,-0.1779,0.1667,10
nytimes,0,0,0.0682,113
nytimes,0,0,0.2121,49
nytimes,0,0.6124,0.8,15
nytimes,0,-0.128,0.0333,50
nytimes,-1,-0.395,0.2591,40
nytimes,0,0.5106,0.375,22
nytimes,0,-0.4404,0.05,109
nytimes,-1,-0.829,-0.1333,28
nytimes,0,0.3182,0,2
nytimes,0,0,0.2432,22
nytimes,0,0.3818,0,673
nytimes,0,-0.5267,0,16
nytimes,0,0,0.1571,9
nytimes,0,0.1531,0.4,19
nytimes,0,-0.4404,0,22
nytimes,0,-0.2732,0.1621,131
nytimes,-1,0.7964,0,27
nytimes,0,0.5719,0.125,19
nytimes,0,0.5563,0.3,20
nytimes,0,-0.9598,-0.1458,28
nytimes,0,-0.8402,0.1167,46
nytimes,-1,0,0.1932,28
nytimes,0,-0.2263,0.2143,109
nytimes,-1,0.7906,0.0765,17
nytimes,0,-0.2732,0.5,43
nytimes,0,0.5106,0.2136,34
nytimes,0,-0.2263,0.2,18
nytimes,0,-0.128,-0.0318,46
nytimes,0,0.8126,0.35,23
nytimes,-2,-0.7781,0,68
nytimes,0,0.7717,0.1611,34
nytimes,0,0.4939,-0.1,33
nytimes,0,0.25,-0.5,29
nytimes,0,0.0772,0,12
nytimes,-1,0.743,0.0833,13
nytimes,0,-0.2023,0,47
nytimes,0,0.872,0.125,43
nytimes,0,-0.8807,-0.2,19
nytimes,0,-0.5267,0.0333,38
nytimes,0,0.5106,0.0576,55
nytimes,0,0.4019,-0.0034,44
nytimes,-1,-0.5423,0.175,373
nytimes,1,0.7717,0.3341,24
nytimes,0,0,0.1341,47
nytimes,0,0.7579,0.0511,28
nytimes,0,-0.6908,-0.7,48
nytimes,0,-0.3182,-0.0375,143
nytimes,0,-0.5994,0.15,136
nytimes,0,-0.4215,-0.0311,24
nytimes,1,0.128,0.05,29
nytimes,0,0.1531,-0.25,32
nytimes,0,0.7906,0.1667,33
nytimes,0,0.7351,0.0682,38
nytimes,-1,-0.7964,-0.1812,11
nytimes,0,0.6369,0.5,17
nytimes,0,0.34,0,49
nytimes,0,0.7964,0.325,107
nytimes,0,0.8126,0.1,37
nytimes,0,0.6652,0,29
nytimes,0,0.719,0.3234,39
nytimes,0,-0.5719,-0.7,18
nytimes,-1,-0.296,-0.0417,45
nytimes,0,-0.5859,0.105,403
nytimes,0,-0.4404,0,445
nytimes,0,-0.5267,0.16,42
nytimes,0,0,0,564
nytimes,-1,0,0.0778,158
nytimes,1,-0.7964,0.275,24
nytimes,0,0.1531,-0.25,52
nytimes,0,0.7783,0.1111,15
nytimes,0,0.872,0.125,164
nytimes,0,-0.1027,0.4,91
nytimes,-1,-0.5789,-0.125,69
nytimes,0,-0.9201,-0.0534,264
