time,tsun,snow,prcp,tavg
1/1/20,980,0,0,3.6
1/2/20,269,0,0,3.7
1/3/20,0,0,0,7.7
1/4/20,0,0,3.3,7.6
1/5/20,116,0,2.8,3.4
1/6/20,133,0,0,-0.1
1/7/20,161,0,0,2.7
1/8/20,350,30,0.5,2.9
1/9/20,540,0,0,-2.1
1/10/20,106,0,0,2.7
1/11/20,408,0,0,13.4
1/12/20,297,0,0.5,18.2
1/13/20,0,0,0.3,4.6
1/14/20,0,0,0,3.4
1/15/20,503,0,0,6.4
1/16/20,142,0,2.5,5
1/17/20,552,0,0,-4.6
1/18/20,0,0,7.1,-8.2
1/19/20,332,80,0.5,0.2
1/20/20,442,50,0,-3.9
1/21/20,472,50,0,-5.4
1/22/20,566,50,0,-2.4
1/23/20,348,50,0,1.7
1/24/20,524,50,0,4.4
1/25/20,0,0,17.8,5.2
1/26/20,346,0,0,7.9
1/27/20,106,0,0,5.2
1/28/20,30,0,0,4.5
1/29/20,522,0,0,2.1
1/30/20,547,0,0,-2.2
1/31/20,430,0,0,1.2
2/1/20,0,0,0.5,3
2/2/20,78,0,0,3.5
2/3/20,260,0,0,4.7
2/4/20,55,0,0,5.1
2/5/20,0,0,1.3,4.7
2/6/20,0,0,11.2,2.4
2/7/20,0,0,8.1,3.7
2/8/20,616,0,0,-0.8
2/9/20,303,0,0,-3.3
2/10/20,0,0,4.1,5.1
2/11/20,0,0,4.3,5.7
2/12/20,314,0,0,4.6
2/13/20,0,30,13.5,3.4
2/14/20,506,0,0,-0.2
2/15/20,508,0,0,-7.6
2/16/20,6,0,0,1.2
2/17/20,582,0,0,5.1
2/18/20,0,0,11.4,2.5
2/19/20,530,0,0,5.4
2/20/20,389,0,0,-0.6
2/21/20,651,0,0,-4.1
2/22/20,647,0,0,1.9
2/23/20,636,0,0,6.3
2/24/20,606,0,0,8.3
2/25/20,33,0,6.6,8.1
2/26/20,7,0,3.8,7.1
2/27/20,274,0,19,6.7
2/28/20,596,0,0,0.8
2/29/20,256,0,0,-1.3
3/1/20,676,0,0,-4.4
3/2/20,100,0,0,1.2
3/3/20,361,0,0.8,9.7
3/4/20,561,0,0.8,8
3/5/20,666,0,0,5.9
3/6/20,283,0,0,3.4
3/7/20,534,30,0,1.8
3/8/20,508,0,0,3.9
3/9/20,685,0,0,12.1
3/10/20,246,0,0,10.6
3/11/20,501,0,0,9.7
3/12/20,156,0,0,3.8
3/13/20,0,0,7.4,7.4
3/14/20,613,0,0,7.1
3/15/20,680,0,0,4.2
